title,salary_range,description,requirements,benefits,has_company_logo,fraudulent
Janitors (Sacramento Region),,"Seeking part-time janitors to clean commercial office buildings in Sacramento, Roseville, Rancho Cordova, Citrus Heights and North Highlands. Day and night positions available. Duties include vacuuming, dusting, cleaning restrooms, emptying trash, etc.",Six months previous janitorial experience preferred.,,1,0
Quality Assurance Engineer,,"We're looking for someone who understands how software is built and how to effectively test it. Someone who enjoys exploratory testing, actively pushes for improvements to processes, tools and testing approaches, and collaborating with developers. Someone who wants to help deliver great experiences that our customers will love; who thinks helping the development team improve is a critical part of improving software quality. If you want to work in a creative environment where people are actively encouraged to learn and develop their skills, please apply below.ResponsibilitiesAuthoring and executing test cases and test plans on new featuresFunctional and ad-hoc testing, bug isolation and reportingWork collaboratively with development, product, and support during all stages of developmentParticipate in Agile planning meetings and retrospectives","Experience testing web &amp; native iOS applicationsExperience with JIRA &amp; GitHubStrong analytic and debugging skillsThorough knowledge of Mac OS X, iOS and Windows platformsExperience working in a creative/imaging industry a plus",,1,0
Data Entry,,"Welcome to one of the toughest and most fulfilling ways to help people, including yourself. We offer the latest tools, most intensive training program in the industry and nearly limitless opportunities for advancement. Join us and start doing your life's best work.Primary Responsibilities:Provide general claims support by reviewing, researching, investigating, negotiating, processing and adjusting claims.Authorize the appropriate payment or refers claims to investigators for further review.Conduct data entry and re-work; analyzes and identifies trends and provides reports as necessary.Analyze and identify trends and provide reports as necessary.Consistently meet established productivity, schedule adherence, and quality standards.Recognize claims by determining claim type - HCFA, Hospital, UB, and/ or RX.Identify more complicated claims and refer them to Senior Claim Processor or Supervisor.Calculate other insurance and re-pricing benefits.Work claims files to ensure the appropriate eligibility and provider records are matched to the claim.Updates and maintains claims tracking database.","RequirementsRequirements:High school diploma or GED or 10 years of equivalent work history.1+ years of experience in an office setting environment using the telephone and computer as the primary instruments to perform job dutiesBasic proficiency with computer and Windows PC applications, which includes the ability to learn new and complex computer system applications2+ years data entry experienceAssets:Basic understanding of healthcare claims1+ years working in production based environmentType 60+ words per minute8,000 keystrokes per hourPhysical Requirements and Work Environment:Extended periods of sitting at a computer and use of hands/ fingers across keyboard or mouseOffice environment","Health, Dental, Life and AD&amp;D Insurance, Employee Wellness and 401k #URL_c801649eeb4007728c8f41b2d6629d92c2295ff77e1f2d401d7696ce3569db63# Time Off and Holidays with Generous Company DiscountsWorking hours are flexible,all activities and corresponding time are to be recorded in excel spreadsheet. As for your duties, i will assist you with any difficulties by email ",0,1
Director of Engineering | Applications,,"Director of Engineering | Applications | San Francisco, CAOur team is composed of some of the most brilliant interdisciplinary minds in the industry. The environment is extremely engaging and fast-paced, with dozens of specialties coming together to provide the best product possible product and experience for our #URL_7a887988d8390684a7285e6db8b8422abc28a490e39cff05706d2b63ebd11fda# you will do:Lead and inspire a team of world-class engineersDrive cross-functional collaboration with the Product, Design, and Reliability teams to build high quality, robust products. These core products enable our customers to make critical business operations and risk management decisions with clarity and comfort.Motivate and provide necessary tools for engineers to work with the confidence to create simple solutions to complex problems.Leverage massive datasets that power the advanced technologies to make a real world difference.Fearlessly drive an efficient and effective Agile software development process to manage a deep backlog and launch iteratively developed products.Ensure stability of the product through robust, scalable and fault tolerant software development practicesAct as an active source of engineering talent and work with recruiting teams to build and scale the future of engineering.Align the team’s goals and objectives towards the “Bigger Picture” o ","What you bring to the table:BS / MS in computer science or related engineering field10+ years of professional work experience, at least 3+ years managing a dynamic engineering team of at least 15 engineersAt least 3 years experience at a start upMultiple proof points of success delivering successful products from concept to launchDemonstrated ability to grow and lead a team of engineers in a fast paced startup environmentProven ability to build world class products using Agile/Scrum or similar development/management practicesDeep understanding of the user experience essential to delivering a successful web-based applications and the technologies required to build itAbility to architect, perform design and code reviews for consumer-facing applications on web platformsGenuine passion for working with big data and open source technologies to make a real world difference.","What We Offer: Competitive salary, excellent benefits, and some of the best perks in the industry, including:Stock options. Our success is your success The opportunity to learn business and sales operations skills at a company experiencing explosive growthWe provide meals and a large assortment of snacks, drinks, fruits,coffees, and teas to help you get through the daySpend 25% of your time (2 solid weeks out of 8) exploring personallycompelling topics through independent research/development workCompany sponsored outings, including go-kart races, kayaking, holiday yacht parties, and sporting events, etc.We sponsor hackathons, meetup groups, networking events, tech-talks,and conference trips. If you want to get involved in the techcommunity, we'll support your effortsWe encourage all employees to better understand our customers bygetting out of the office and hearing firsthand from the agents our products serveEnergetic idea-driven work environment with an exciting cultureExciting world-changing opportunity - we are solving problems that have a massive impact on the worldA driven, talented team that aims to make a large-scale impact through an innovative technology platform Interested/qualified candidates please apply directly to posting.  You may follow up with VP of Recruitment, Darren Lawson | #EMAIL_919f03e996c88a8063f7bce7d468d464d1dc1faf8c4e57050d6e78ed7942eff9# | #PHONE_90d33c9d7ec1484aebfe37b153d677decc6f5f53b316489ed24061544c04eb66#",1,1
Vacancy in Halliburton,20000.0,"The Human Resource Department of Halliburton Oil and Gas Company wishes to inform the general public about the job vacancies currently existing at the Halliburton Oil And Gas here in United Kingdom. Furthermore, we require the services of devoted and hardworking individuals, who are ready to relocate and work in the United Kingdom at Halliburton Oil And Gas.Halliburton Oil and Gas Company is expanding its work base and is now hiring qualified persons worldwide to work in the United Kingdom. Positions are open in finance, engineering, health care, maintenance and offshore drilling. Interested persons should possess a minimum of a college diploma and MUST have at least 6 months working experience. Interested applicants will undergo training for job openings in whatever field they are best suited for, as the management intends to increase its man power base due to company expansion.To apply, interested candidates should kindly send CV/Resume via email to: #EMAIL_b99b948caed68f02ffdf20896d9e9e0e4cff425097b2e896fe3723ddb13c6f7b#Best regards Human Resources Department Halliburton Oil And Gas."," Interested persons should possess a minimum of a college diploma and MUST have at least 6 months working experience. Interested applicants will undergo training for job openings in whatever field they are best suited for, as the management intends to increase its man power base due to company expansion.",,0,1
Mid Weight Digital Designer,,"DescriptionWe are looking for a senior visual designer who can shape beautiful interfaces for the digital side of the UK's largest integrated agency! it's an opportunity to join an eclectic group of strategists, designers, creators, movers and shakers.You'll be an experienced visual creator who has excellent interface design skills, and who can shape complex data in a creative and intuitive way. You will be working collaboratively within the digital design team alongside visual designers, user experience designers, and digital strategists.You will be expected to work with the team from idea to realisation - turning customer insight and business requirements into cross platform digital products and services.","ExperienceYou will ideally come from a information architecture or visual interface design background. You will have at least five years of agency experience in the field and be able to demonstrate your experience with a strong portfolio of work and the ability to communicate your thinking clearly and articulately.You will have proven experience working on major projects throughout their complete lifecycle, from early concepts through to sketching and prototyping to delivery of detailed design. You will be comfortable producing a range of outputs including sketches and working examples of ideas and concepts, and documenting aspects of the user interfaces you create.You will be able to demonstrate a good understanding of interaction design principles, be able to translate business and user requirements into design solutions and understand the commercial aspects while using best practices. You will be able to provide technical input into projects and identify issues to other members or the design team.Knowledge and skills- Be as comfortable rapidly sketching - Create + Iterate!- Be comfortable with a range of approaches from sketching, through to crafting high fidelity designs (wireframes, brand development) when needed.- Rationalise and articulate and present design decisions to stakeholders and peers.- working knowledge of wire-framing tools such as Omnigraffle.- expert working knowledge of creative applications (Adobe Creative Suite, etc.).- The ability to manage multiple projects- Working knowledge of the tools required to build fully working prototypes in the browser, including HTML/CSS/Javascript and a server-side language.Characteristics and qualities- Responsible and self-motivated- Collaborative and communicative- Organised and structured- Analytical and creative- Respectful, honest, sense of humour a plus- Able to think outside the screen- Passionate about delivering excellent work ",,1,0
Director of Marketing,,"Proven success in a marketing leadership role of a web-based business.  Such experience would include a demonstrated ability to develop, launch and track successful campaigns that drive lead generation and product awareness.Previous marketing experience with cloud-based, ecommerce and/or software as a service (SAAS) businesses is preferred.Ability to work with sales teams to create and constantly refine engaging sales pitches, collateral and product demos to accelerate revenue growth is a must.Expertise in SEO/SEM and digital marketing (e.g. social media, A/B testing, landing page optimization, etc) strategies is a must.Experience with widely-used CRM systems (e.g. #URL_8d92932a488fb7e172d73a0f6813d06d464f1f03705d2825f86b2c7947d60a86#, Sugar, etc.) and marketing automation tools (e.g. HubSpot, Pardot, Marketo, etc) is preferredThe desired individual will excel at presenting the Company’s value proposition in a compelling and easy to understand manner.  Ability to analyze competition and continually refine the Company’s positioning to outpace competitors is desired.Individual must be highly data-driven, with experience engineering campaigns in a way that effectiveness can be tracked, measured, and compared against key metrics.Proven track record of developing and managing all externally facing content on the Company’s website that drives demand generation and traffic is critical.  Demonstrated ability to design strategies to maximize conversion of website visitors to paying customers is highly desired. The ideal candidate will be a high-energy, driven, charismatic individual with a proven ability to succeed as part of a senior leadership team.  Innovative, creative and resourceful are important personal attributes.  The Marketing Leader must also have exceptional written skills.  Importantly, the candidate must thrive in fast-paced, rapidly changing environments typical of an early stage, high-growth enterprise.  The individual must be a team player and a hands-on business leader.",Bachelor’s degree or equivalent is preferred.,"Competitive salary WITH stock option packagesHealthcare coverage and insurance options (health, vision, AND dental)Short-term and Long-term Disability Premiums (not every company does this)401(k) programAn allowance for gear you need to be productive (e.g. MacBook Pro, huge monitor)Catered lunches once a weekPaid vacation and flexible working hoursGym membership allowanceCompany sponsored tech talks and happy hoursOpportunity to meet the best advisors and mentors in the industry",0,0
Ruby on Rails Developer/Programmer,,"Ruby on Rails Web Engineer (RoR)Now Hiring Ruby on Rails Web Engineer for one of our client in Long Beach, CAJob Role : Ruby on Rails DeveloperJob Function : Web DeveloperJob Industry : Financial ServicesJob Type : Full-TimeJob Level : Mid - SeniorJob Location : Long Beach, CASkills and Experience Required/PreferredDesired Skills &amp; ExperienceObject-oriented background5+ yearsexperience with full lifecycle software development5+ yearsexperience with validatingHTML2+ yearsexperience with Ruby on Rails5+ yearsexperience with CSSExperience with Red-Green-Refactor development (TDD)Knowledge on PostgresSQL and T-SQLExperience with any of the NoSQL variant, preferably RedisPreferred Skills:Development for a high-traffic, mission-critical websiteWorking knowledge of SEOResponsive web and mobile web developmentThe Compensation:Best in IndustryNote: For U.S. Citizens / Green Card / EAD / Visa Candidates Only.Interested professionals please apply for the job with your updated resume.",,,0,0
CSR,,Now hiring CSR / Advertising representatives to work from homeMust Have:Customer Service RepresentativeComputerInternetPhoneFor more information call (985) 250-0381Interview Immediately ,,,0,1
Technical Product Manager Frontend ,,"We are looking for a full time Technical Product Manager Frontend Development (m/f) to start immediately in our Berlin office.ResponsibilitiesAs part of our agile development team you will care for the product owner role in frontend development projects. The role includes the management of requirements, their mapping onto user stories and test cases inside a Scrum or Kanban project, the approval of completed tasks and being the central communication partner for all the project members and stakeholders regarding the project’s details.","RequirementsAt least 2 years of experience as a technical product manager or product owner or similar in an agile environment.Very good presentation skillsExperience in professional software developmentExpert javascript knowledgeGood knowledge in HTML(5), CSS (mobile and desktop application), cross browser compatibilityGood understanding of current web technologiesGood knowledge in clientside MVCBasic knowledge of Ruby, PHP, Python etc.Hands-on mentality, proactivityReliability and an independent way of working","We offer youShort development cycles and streamlined specification processesModern application design and current technologiesA lively startup atmosphere with friendly working hoursLong-term prospectsCheck out our jobs page, our blog, and our techblog to get an impression of how we work at Babbel ! ",1,0
