location,title,salary_range,description,requirements,benefits,fraudulent
"US, TX, Fort Worth",Advertising Account Executive,,"COMPANY DESCRIPTIONFort Worth, Texas magazine is seeking a highly motivated, seasoned Advertising Sales Executive to drive sales revenue and growth for the company. This role provides exceptional players with uncapped earning potential as well as professional development.JOB DESCRIPTIONThe Account Executive will possess consultative sales skills and excel in developing objective-based integrated marketing campaigns across multiple properties consisting of print, digital and event sponsorships.The Account Executive must be polished and comfortable working with large corporations and high-growth small- to medium-sized businesses to identify the needs of these prospects and communicate the value of FWTXmag’s suite of products and services. The Account Executive must be a strong prospector and comfortable with closing new business deals. He or she should excel at building rapport with prospects in person, on the phone and via email. He or she should be able to solve complex problems quickly and provide the appropriate solutions.The performance of Account Executives will be evaluated according to the standards below. These targets are the expected level of performance and may be re-evaluated in order to help the AE achieve success.JOB DUTIESGoals and Quotas: Yearly, quarterly &amp; monthly goals will be set by the Advertising Sales Director. Account Executives should, at a minimum, meet their monthly, quarterly and yearly quotas, and should strive to exceed them.New Business Targets and Prospecting: Proactively contact new-to-company prospects to generate new streams of FWTXmag's revenue. The Account Executive will need to quickly qualify genuine opportunities and move these to the next stage of the sales process or move on in cases where no worthwhile opportunity exists.Sales Activity: Account Executives are expected to meet minimum activity levels to build a pipeline of business and ultimately closed contracts.Analyze Opportunities: Understand the business issues affecting specific prospects and/or industries and ensure that this knowledge is the foundation for our communication.Product Knowledge/Market Intelligence: Clearly express the value proposition and benefits of FWTXmag's products and solutions and use this knowledge to ensure that solutions address clear business needs for the client. Account Executives are expected to read content produced by FWTXmag daily and stay informed of media industry trends as well as trends affecting client’s industries.Forecast: Manage sales pipeline and revenue forecast in Salesforce CRM to ensure accurate recording of prospecting activity, conversion success, and active sales opportunities at each stage of the sales process as well as future new business revenue.Managing Prospect and Client Information: Keep accurate and clear records within Salesforce CRM to provide a solid deal history that clearly shows the steps taken to reach each transaction.Policies and Guidelines: Adhere to the FWTXmag's corporate policies set in place.Communication and Teamwork: Account Executives should keep the Advertising Sales Director apprised of their schedules and developments with their accounts via Salesforce CRM. Administrative tasks must be completed in a timely manner as set forth by executive management. They are expected to work cooperatively and collaboratively with their clients, members of other departments, and FWTXmag's corporate personnel.Community: Account Executives are expected to participate in company sponsored events and to provide input as to which of their clients and prospects should be invited.Professional Development: Account Executives are expected to participate in all training offered by FWTXmag. In addition, they should participate in at least one other training opportunity each year, as agreed upon with the Advertising Sales Director.Other: Account Executives should be prepared to assist with any other task or project assigned by the Advertising Director.Attendance at after-hour Business events expected.","QUALIFICATIONS REQUIREMENTS, EXPERIENCE &amp; ATTRIBUTES OF IDEAL CANDIDATESBachelor’s degree + 1–5 years sales experience (preferably in a Advertising sales environment)Very strong prospecting skillsCommitted to consistent daily selling behaviorsWell-networked in the Fort Worth marketplaceIdeally involved with industry associations and have a strong personal networkAbility to get in front of high-level decision makersConsultative selling experienceExperience with SalesForce or similar CRM system preferredAbility to work both independently and as a team playerExperience with and comfort entertaining clients in social settingExceptional organizational, written and verbal communication skillsExcellent presentation skills, well versed in Excel, PowerpointLoyal, honest, high-energy, driven, strong work ethic, good sense of humor ADDITIONAL INFORMATIONFort Worth, Texas magazine is a small but mighty group of staffers who are passionate about all sides of publishing — editorial, art, advertising, production. We produce smart, beautiful, and informative print and online publications that help thousands in Fort Worth navigate their city every day. We're allways looking for new talent. If you think you'd be a good fit for one of our open positions - Apply Today! - See more at: #URL_b8d0080b6eac2c004a8b3533c340fd3935030c1536e1f148808a5300560ec6a0#",Career GrowthWe provide the opportunity for you to develop and grow in the career path of your choice.RewardsWe provide competitive compensation and vacation.QualityWe provide quality leaders to guide and support your professional development.Work / Life BalanceWe fulfill your personal needs as you meet professional goals.- See more at: #URL_b8d0080b6eac2c004a8b3533c340fd3935030c1536e1f148808a5300560ec6a0#,0
"AU, NSW, Sydney",Great Part Time Jobs & Cash In Hand Jobs.,5.0,Great Part Time Jobs &amp; Cash In Hand Jobs. No Experience Required And Never Any Fees. Work Anytime 1 To 2 Hrs Daily In Free Time. Earn Easily $400 To $500 Extra Per Day. Totally Free To Join &amp; Suitable For All. Take Action &amp; Get Started Here:- #URL_3642a95d0b2308884802999b8ba4f004b69950c970d00995af84c2270b7b570c#,No Experience Required And Never Any Fees,Totally Free To Join &amp; Suitable For All.,1
"US, CA, San Francisco",Marketing Database Decision Strategy Consultant ,60000.0,"Looking for a modeling manager who is self-starting and proactive, wants to have an impact and own end to end results of their work. This modeling manager will be responsible for managing a team that develops predictive marketing models for Small Business credit product campaigns across multiple channels. Routine tasks will involve staff management and hands-on model development, technical documentation, oversight of model reviews and model implementation, and daily collaboration with the data and analytics teams. The modeling manager must be very familiar with statistical concepts that pertain to predictive models. Broader, practical knowledge of applied statistics, experimental design, and data mining would also be important. He or she will employ multiple databases across multiple data sources with different time period to obtain small business data with various levels of detail, to develop, validate, and oversee development of models that predict events along the credit product acquisition cycle. Regular communication with business partners will be required. The modeling manager must be comfortable in the role of advocate for the business, when seeking approvals from legal and compliance personnel for new or revised marketing models, when making recommendations to senior management, and with occasional opportunities to share information across the company. Adaptability to a changing legal and compliance environment is imperative. Basic Qualifications 10+ years marketing analytics and predictive modeling experience. Minimum Qualifications Masters degree in statistics, operations research, or another field of applied statistics.10+ years of hands-on statistical applications in the financial services, consumer products marketing, or another related business area.Experience with campaign execution and database marketing.Demonstrated creativity with problem solving skills.Proficient with the SAS BASE and STAT modules, SAS macro language, and SQL.Practical experience with logistic regression models and scorecards.Ability to design and provide information for model reporting processes.Skill with preparing highly detailed model-related documentation, which would be subject to several levels of approval.Demonstrated ability to share analytical results effectively to non-modelers, including management, law and compliance groups, and others.Ability to manage a predictive modeling team as a hands-on contributor.Embraces teamwork and collaboration, and is regarded by colleagues as a respected authority in applied statistics.Must be flexible, able to thrive, and meet stringent deadlines, in a rapidly changing, fast paced environment.Ability to adapt new environment quickly with change management experience Strong oral, written, and interpersonal communication skills.","Preferred Skills Experience with SAS E-Miner or Xeno, or another model building tool.Previous management of an analytics team is preferred but not necessary.Familiarity of databases like Hemisphere or BMG.Some experience with financial models that depict ROA, NPV, etc.Experience with the changing landscape of fair lending and privacy policies.Has experience as a facilitator in company-wide presentationsYears of Experiance:10+Education Level: Master's DegreeWill consider H1: Must be US Citizen or Green Card HolderContract: Full Time",Salary: 180kIf you have all the necesary skills please contact me either on:skype: #URL_d55e4b14429646a9eb93865cecc97aacd2825df075948232385e8999972dad8d#email: #EMAIL_11728081a815d4106982c8e46f4d73c3c78f5c0d57a1a2517ba10dfe4dc9b09e#,1
"US, TX, 77619",Customer Service Rep.,,"Customer Service Reps. needed to take inbound and make outbound calls. You will also answer online applications, post adds, and walk customers though a 10 to 20 min. orientation of what they need to know and do. *It's really that simple*. If you are interested please contact me(Chelsea Broussard) at #PHONE_8bb1f8b29e18de89dfc85579c8ca97cd2743e12735fc10b4bef2e011f70e0b1f# or by email #EMAIL_dad2d626507beacd6da25359a0fe33dec200160793735e6d7d15c4de0fc90e9b#. You can leave me your name and number if you choose to email me. Hope you have a Great Day! Let me add that I am a stay home mother single mom at that to three wonderful boys and with barely any support from my family or anyone this is all I have. I cant put them in daycare cause it cost to much and well it would pretty much be my full week paycheck each week for daycare. So I stay home go to school online through a great school called Grand Canyon University and I still get to enjoy my daily life with my boys.",Great commincation skills and great customers service ,Make your own hours and still get to enjoy you daily life things. You can choose to do it part time or full time. It is all up to you. ,1
"US, CA, Santa Ana",Administrative Assistant,," In addition to clerical and administrative duties, individual will be asked to support the office staff in other areas.- Individual must have strong math skills.- Drug Screen",,No requirements,1
"US, IL, Chicago",.NET Developer - NexLP,,"ABOUT NexLP.NexLP is a recently funded start up based in Chicago.  They focus on providing investigative software to companies through the use of natural language processing, machine learning, and big data analytics.NexLP is seeking an engineer to lead the web development of their product, Story Engine.  This engineer will work with the CTO to select tools and technologies, and migrate a 1.0 front end to these new frameworks.  The engineer will work with a UX team to understand the workflows and provide guidance on how to best implement these workflows.  The engineer will manage the HTML5 visualization components and work with the data science team to provide dynamic and interactive visualizations.  Additionally, the engineer will be depended on to provide guidance to junior engineers as they are brought onto the team.In the news: #URL_fad7491c39ba233e8d29cf5e7491e2c7ed7da2af064dd6cc2ba0df034afa5582#=1#PHONE_0f9bd7593a1fa011fd71acf0745810b215c89a2081d97bf3928cc38bb0d2d28e##URL_fe529591f11e24070317974ebe078ab8ad240df0d1cf505a664edf79f1ffc2e0#",.NET DEVELOPERRequired- 5+ years software development experience using Microsoft .NET technologies- 2+ years experience with #URL_01a736d89d2f0b19de700923d2c312837e180465650804d0f84105352812bf9a# MVC- 2+ years experience with jQuery- 2+ years experience as a technical team lead or manager- 2+ years experience with SQL and SQL Management StudioNice to have- Able to work in our Chicago office 4+ days a week.- Experience building large scale web based systems,,0
"US, MD, Baltimore",Sales Professional- Mid Market ,4800.0,"- Maintain a high level of Clearmark solution expertise and competitive intelligence- Guide team members to identify decision makers amongst the targeted leads in order to initiate the sales process.- Provide compelling product demos via the phone along-side the dedicated Account Executive; emphasizing service features and benefits, discussing contract terms, quoting prices, and preparing sales orders- Work with individual Account Executives to develop sales plans in order to maximize revenues- Ensure that accurate and complete information is submitted in CRM- Provide regular updates to management regarding opportunities, trends and challenges- Lead sales team to meet and/or exceed monthly and quarterly quota objectives- Support Recruitment and Human Resource functions including: interviewing, hiring, and termination recommendations- Collaborate with Corporate Sales Trainer on employee development- Establish and maintain department procedures; provide feedback, make suggestions to management- Act as first line of contact for management involvement on high-profile issues- Maintain effective communication across key departments and senior leadership team- Represent yourself and Clearmark in a highly professional manner",Job Requirements High School Diploma or GEDPass Drug ScreenClean Criminal History CheckOptional 6-12 months of sales experience  ,401kHealth InsurancePaid Time OffVacation TimeBonus ,1
"EE, 37, Tallinn",Operations Specialists,,"TransferWho?Co-founded by Skype’s first employee and backed by some of planet's most experienced innovators, including PayPal founder &amp; Facebook's first investor Peter Thiel, we're disrupting the world of currency &amp; international money transfer. That means flipping a gazillion dollar industry on its head and taking power away from banks and the establishmentLocated in one of Tallinn’s start-up and design hubs, we’re growing at an extraordinary rate and looking for exceptional talent to jump on board.We’re currently 60 people strong and handling more than €3,000,000  in customers’ money every day.TransferWise is a 100% boredom-free zone. If you’re looking for a stuffy financial company, the back button beckons, if you want to be part of something innovative and truly exciting, read on.Our fast-growing Operations team is looking for new members! So, what’s the role?You will work with US and European banks.Executing bank payments for customers.Resolving payments' related problems.Dealing with customer identity verification procedures.Working closely with Customer Support team to keep our customers happy.","Is this you?Financial services or operations background.At least 3 years of work experience in responsible specialist role.Flexibility in working hours - the specialists will work in two shifts to cover also US banking hoursGood communication skills, fluent in English.Ability to take charge in critical situations and work on resolving problems.Punctual, independent, proactive and willing to get things done.","Did someone say benefits?Apart from all-expenses-paid company days twice a year, stock options in one of Europe’s most hotly-tipped startups and team lunches, you won’t get much in the way of extras.However, we will give you a fun, friendly atmosphere, plenty of opportunities to grow and the chance to be part of our little revolution. Oh, and coffee, there’s plenty of coffee.",0
"US, CA, San Francisco",Mobile Developer-Back End ,,"Our mission is to help all the world’s people and businesses manage and adapt to climate change.  To achieve our mission, we have built a unique technology platform to enable, for the first time, the real-time pricing and purchasing of customizable weather insurance.  Managing over 200 TB of data, including 34 trillion+ weather simulation data points, 150 billion soil type observations, and more than   3 million daily weather measurements, we are one of the largest users of Amazon Web Services. Today we are focused on helping farmers protect and increase their profits in the face of increasingly extreme weather.  At the heart of the company is our unique technology platform, which encompasses our core competencies across weather monitoring, agronomic modeling, and weather simulation, and accounts for over 200 TB of data, including 34 trillion+ weather simulation data points, 150 billion soil type observations, and more than 3 million daily weather measurements.  This platform powers the company’s portfolio of technology-based products and services, which are revolutionizing agricultural risk management and farm management. We are leaving a mark on the world in our DNA; we want to make a lasting and meaningful real-world impact.  We relish big problems because they are the most interesting to tackle, the most rewarding, and typically the most valuable to solve.  We also thrive on finding the possible in the impossible.If you are the best at what you do, you like solving interesting problems, and you are looking for like-minded people dedicated to having a major impact on the world, we are eager to talk with you.Mobile Developer - Back EndThe Climate Corporation is looking for experienced Ruby developers to join our engineering team, focusing on building back end support for the development of mobile applications for growers. Responsibilities:What You Will Do:Write highly scalable and robust RESTful APIs to empower our mobile applications.Work closely with the iOS and Android team to ensure seamless integration with the back end.Opportunity to learn new technologies and frameworks.  What We Offer:Our team is composed of some of the most brilliant interdisciplinary minds in the industry. The environment is extremely engaging and fast-paced, with dozens of specialties coming together to provide the best possible product and experience for our customers. Competitive salary, excellent benefits, and some of the best perks in the industry, including: We provide meals and a large assortment of snacks, drinks, fruits, coffees, and teas to help you get through the day. We let you explore personally compelling topics by occasionally taking time to work on independent projects and contributing the results back to the open source community.  Company sponsored outings, including go-kart races, kayaking, holiday yacht parties, and sporting events, etc. We sponsor hackathons, meetup groups, networking events, tech-talks, and conference trips. If you want to get involved in the tech community, we'll support your efforts. We encourage all employees to better understand our customers by getting out of the office and hearing firsthand from the agents and farmers our products serve. Energetic idea-driven work environment with an exciting culture. Exciting world-changing opportunity - we are solving problems that have a massive impact on the world! A driven, talented team that aims to make a large-scale impact through an innovative technology platform.","What You Offer:Experience in writing clean and idiomatic Ruby code.Familiarity with the OOP and design patterns.A passion for clean and testable codeDetail orientation and strong collaboration skillsFamiliarity with CS fundamentals - a BS or MS in CS or equivalentWillingness to rapidly iterate and build out our application suiteBonus Points:Past experience with Test Driven or Behavior Driven Development.Some significant open source contribution.Past experience with JRuby, EventMachine, Ruby Fibres, Sinatra. ",,1
"US, CT, Windsor",Service Delivery Manager 2 ,,"The Service Delivery Manager II will be located in Windsor CT.  The right candidate will be an integral part of our talented team, supporting our continued growth. The Service Delivery Manager is responsible for all aspects of operating day-to-day services at a production facility (Mail, Document Imaging/Scanning and Fulfillment) and supporting the on-site non-exempt Novitex Team.  In order to achieve these objectives, the Site Manager will be expected to maintain a high level of client contact and customer satisfaction (SLA attainment) and develop site personnel to meet or exceed customer and Novitex objectives. Candidates must have High School Diploma, proven leadership experience, minimum of 2 years supervisory experience, minimum of 3 years customer service experience and a minimum of 1 year experience in a Document Imaging and Indexing environment, preferably in the Healthcare industry. The ideal candidate will have an undergraduate degree. This person must have a valid driver's license and a good driving record.Responsibilities:Coordinate workflow within the team, including prioritizing jobs and delegating duties to associates.Administrative - Performs administrative tasks, provides volumes/billing inputs to one-up Manager, and other assigned duties in a timely manner. Ensures adherence to company policies and guidelines, safety &amp; security procedures.Quality/Workflow compliance - demonstrate commitment and enthusiasm and utilization of quality tools to drive SLA attainment and exceed client expectations.  Ensure service levels are clearly communicated, understood, and performed by on-site staff.Coaching &amp; counseling - create a positive atmosphere of professionalism and support.  Provide honest and timely verbal and written feedback to employees; address performance issues with directness and sensitivity with guidance from manager and human resources.Personnel Management - Performs all functions in HR Access to include time and payroll authorization, training approval and vacation approval.  Duties also include hiring and termination authorization, annual reviews and merit increase actions, with approval from HR and/or one-up manager. Utilizes technology to perform tasks efficiently and demonstrates the ability to communicate effectively both orally and written.Position may require Site Supervisor to perform site activities due to unanticipated volume increases, staffing coverage issues and/or special project needs requested by clients. Understands basic information on core Novitex service/solutions offerings to work effectively with Manager - Client Services in generating leads for site growth and competitive take-aways.","Required Qualifications: Proven leadership experience requiredMinimum of 2 years supervisory experienceMinimum of 3 years customer service experienceMinimum of 2 years of experience in a Document Imaging and Indexing environmentEffective customer relationship building skills, and uses creative solutions to exceed customer expectationsDemonstrates good judgment under pressure, and works well in a multi-taskingEffective written and verbal communication skills; proven analytical skillsSolid, basic mathematical skills requiredExcellent planning, prioritization and organizational skillsProven experience in high volume/fast paced environmentComputer proficiency in email environments, MS Word/Excel or similar programsHigh School Diploma requiredLifting up to a maximum of 55 lbs. or the maximum allowed by current State law with or without accommodationsAbility to stand, sit and/or walk for long periods of time with or without accommodationsMust have a valid driver's license and a good driving recordPreferred Qualifications:Undergraduate degree preferred  ",,0
