title,labels
 Donald Trump Sends Out Embarrassing New Year’s Eve Message; This is Disturbing,fake
 Drunk Bragging Trump Staffer Started Russian Collusion Investigation,fake
 Sheriff David Clarke Becomes An Internet Joke For Threatening To Poke People ‘In The Eye’,fake
 Trump Is So Obsessed He Even Has Obama’s Name Coded Into His Website (IMAGES),fake
 Pope Francis Just Called Out Donald Trump During His Christmas Speech,fake
 Racist Alabama Cops Brutalize Black Boy While He Is In Handcuffs (GRAPHIC IMAGES),fake
" Fresh Off The Golf Course, Trump Lashes Out At FBI Deputy Director And James Comey",fake
" Trump Said Some INSANELY Racist Stuff Inside The Oval Office, And Witnesses Back It Up",fake
" Former CIA Director Slams Trump Over UN Bullying, Openly Suggests He’s Acting Like A Dictator (TWEET)",fake
 WATCH: Brand-New Pro-Trump Ad Features So Much A** Kissing It Will Make You Sick,fake
" Papa John’s Founder Retires, Figures Out Racism Is Bad For Business",fake
 WATCH: Paul Ryan Just Told Us He Doesn’t Care About Struggling Families Living In Blue States,fake
 Bad News For Trump — Mitch McConnell Says No To Repealing Obamacare In 2018,fake
" WATCH: Lindsey Graham Trashes Media For Portraying Trump As ‘Kooky,’ Forgets His Own Words",fake
 Heiress To Disney Empire Knows GOP Scammed Us – SHREDS Them For Tax Bill,fake
 Tone Deaf Trump: Congrats Rep. Scalise On Losing Weight After You Almost Died,fake
 The Internet Brutally Mocks Disney’s New Trump Robot At Hall Of Presidents,fake
 Mueller Spokesman Just F-cked Up Donald Trump’s Christmas,fake
 SNL Hilariously Mocks Accused Child Molester Roy Moore For Losing AL Senate Race (VIDEO),fake
 Republican Senator Gets Dragged For Going After Robert Mueller,fake
" In A Heartless Rebuke To Victims, Trump Invites NRA To Xmas Party On Sandy Hook Anniversary",fake
 KY GOP State Rep. Commits Suicide Over Allegations He Molested A Teen Girl (DETAILS),fake
 Meghan McCain Tweets The Most AMAZING Response To Doug Jones’ Win In Deep-Red Alabama,fake
 CNN CALLS IT: A Democrat Will Represent Alabama In The Senate For The First Time In 25 Years,fake
 White House: It Wasn’t Sexist For Trump To Slut-Shame Sen. Kirsten Gillibrand (VIDEO),fake
 Despicable Trump Suggests Female Senator Would ‘Do Anything’ With Him For Campaign Money (TWEET),fake
 Accused Child Molesting Senate Candidate Roy Moore Sides With Putin Over Reagan (VIDEO),fake
" WATCH: Fox Host Calls For A ‘Cleansing’ Of The FBI, And To Arrest Everyone Investigating Trump",fake
 Liberal Group Trolls Trump At Roy Moore Rally In The Best Possible Way (VIDEO),fake
" Don Jr. Tries To Mock Al Franken’s Resignation, Backfires Immediately",fake
" BREAKING: Cop Finally Gets His Due, Walter Scott’s Killer Sentenced To Prison (DETAILS)",fake
 Watch: Is This Proof Trump Is Unfit for Service?,fake
" Trump Completely SCREWS The Middle East Peace Process, Just Another Wednesday For Him",fake
 Trump Only Cares About Trump; Why He Is Recognizing Jerusalem Today,fake
 Watch: Trump Supporting Coal CEO Upset Trump Is Wiping Out ‘Thousands’ Of Coal Mining Jobs,fake
" Sitting GOP Senator Has Had ENOUGH, Donates To Alabama Democrat For Senate (IMAGE)",fake
 Republican National Committee: Better A Pedophile Than A Democrat In The U.S. Senate,fake
 Donald Trump’s Eating Habits Could Be Dramatically Affecting His Wellbeing And Our Safety,fake
" John McCain Wanted Another 74 Twitter Followers, But His Plan Backfired Miserably (TWEETS)",fake
 This Sarah Huckabee Sanders Tweet About Attacking The FBI Hasn’t Aged Well,fake
 FBI Agents Destroy Donald Trump After He Attacks The Agency And James Comey,fake
 ‘Ghost Of Witness Flipped’: Hilarious SNL Skit Takes Trump Into His Own Private Holiday Hell (VIDEO),fake
 Leaked Email Proves Trump Officials Aware Russia Had ‘Thrown The USA Election’ To Trump,fake
 Trump Just Admitted He Knew Flynn Lied To The FBI Before He Asked Comey To Drop The Investigation,fake
 Watch This Awesome Mashup of Michael Flynn Leading The ‘Lock Her Up’ Chant As He Goes Off To Court (VIDEO),fake
 White House Panics Knowing Flynn Is Going To Take Them Down,fake
 BREAKING: Michael Flynn CRACKS – Will Testify To Mueller Against Trump Himself,fake
 Trump Gets An Epic F**ck You From Britain Over His White Supremacist Retweets,fake
 This Hilarious Campaign Ad Shows Voters How They Can Avoid Scandalous Elected Officials,fake
 Joe Scarborough: It’s Not Our Imagination – Trump Really Is Losing His Mind (VIDEO),fake
 Sources Confirm Robert Mueller’s Office Interviewed Jared Kushner Several Weeks Ago,fake
 Trump Sends Crazy-Time Tweet To The Wrong Account After Losing His Sh*t Over World Leader’s Remarks,fake
 Americans Once Elected A President After He Was Accused Of Raping A 13-Year-Old Girl,fake
" Trump’s Biggest KKK Fan Is Back, And He Just LOVED Those Anti-Muslim Tweets This Morning",fake
 Trump Spent The Night Retweeting A White Supremacist Convicted Criminal,fake
 Sean Hannity Is Throwing A Stage-4 Temper Tantrum Over The Photo He Posed For (IMAGE),fake
 Democrats Give Trump A Big F**ck You After He Attacks Them In Insane Twitter Rant,fake
 Trump Wakes Up To Scream At Black People After Hurling A Racial Slur Yesterday,fake
 Trump Supporters Object To Prince Harry’s Recent Engagement For Terrible Reasons (TWEETS),fake
" While Honoring Native American Code Talkers, Trump Called Elizabeth Warren ‘Pocahontas’ (VIDEO)",fake
 Pro-Trump Group Is Now Using Pictures Of An Obama Rally To Make Trump Look Popular,fake
 Breitbart Editor To CNN Host: A Song By Ringo Starr Proves Roy Moore Isn’t A Pedo (VIDEO),fake
 Former Obama Photographer Takes Trolling Trump To A Whole New Level (TWEETS),fake
" Just Back From A Golfing Vacay, Trump Says He’s Done More Than Any President Ever",fake
" Two Weeks Before Election, Trump Still Defends Accused Child Molester Because TAXES, Y’all",fake
 Principles Over Power: Why Republicans Need To Do What’s Right To Remain Relevant,fake
 Trump: Everything You Heard Me Say On The Access Hollywood Tape Never Happened,fake
 CNN BLISTERS Trump After He Attacks Them For Bad Representation: ‘That’s Your Job’ (TWEETS),fake
 Sean Hannity Gets Wrecked For Yelling At Time Magazine For Calling Out Trump’s Lie,fake
 Time Magazine Humiliates Trump After He Lies About Award,fake
" Ivanka Defends Malia Obama From Attacks, Her Dad’s Fans Won’t Stop: ‘She Looks Like A Baboon’",fake
 Trumpsters Launch Insane Conspiracy Theory About The Boot On John McCain’s Foot,fake
" Gay GOP Operative Endorses Doug Jones Over ‘Bigoted, Deviant’ Roy Moore In Senate Race (VIDEO)",fake
 WATCH: Retired Alabama Cop: We Were Told To Keep Roy Moore Away From High School Cheerleaders,fake
 New York Times Reports There’s An Actual Russian Agent In Congress And He Has A Code Name,fake
 Fox News Bans Gene Simmons For Life For Harassing Staff Off Camera,fake
 WATCH: Nicolle Wallace Takes Trump To The Woodshed For Backing Pedophile Moore,fake
 Pastor Goes Full Y’all Qaeda Defending Roy Moore: He Only Wanted Teen Girls For Their ‘Purity’,fake
 Trump’s National Security Adviser Reportedly TRASHED Him – This Is Epic,fake
 Trump’s Favorite News Channel Tries To Soothe His Battered Ego – Gets Taken To The Cleaners,fake
 Texas Governor Just Broke With Trump; This Is Unprecedented,fake
 Conservative ‘Christian’ Leader Kept A Sexual Assault Secret For A Republican Lawmaker,fake
 GOP Senator Caught On Hot Mic Trashing His Own Party Over Roy Moore And Donald Trump (VIDEO),fake
 Donald Trump Is Destroying The Country’s Reputation And Here’s Proof,fake
 Trump Just Got His P*ssy Handed To Him By New Zealand’s Female Prime Minister,fake
