title,labels
Trump travel ban should not apply to people with strong U.S. ties: court,real
Key House lawmaker sees progress allaying tax deduction concerns: Fox,real
Wind energy firms cheer U.S. Senate tax bill for keeping tax credit,real
Senate to vote later on Wednesday to work with House on tax bill: McConnell,real
"Donald Trump Jr. wants 'leak' probe, as Congress' Russia probes press on",real
U.S. Treasury would run out of cash by early April if debt ceiling not lifted: CBO,real
U.S. top court takes up Republican challenge to Maryland electoral district,real
Tillerson seeks to ease skepticism about U.S. State Department reorganization,real
Obama blasts 'politics of division' on return to campaign trail,real
Tax trigger idea for Senate tax bill swiftly draws critics,real
Jones certified U.S. Senate winner despite Moore challenge,real
U.S. tax debate employing more than half of Washington's lobbyists: report,real
 This Old Tweet From Trump Reveals The REAL Reason He’s Trying To Start A War,fake
House approves stop-gap government funding bill,real
Senate tax plan does not kill electric vehicle credit,real
House intel panel advances NSA spying bill despite privacy objections,real
Minnesota Senate may halt operations on Dec. 1 due to funding dispute,real
" Desperate For Members, White Supremacists Beg Rally Goers To Make It ‘Sexy’ – No Joke",fake
Senator seeks explanation for career U.S. prosecutor's abrupt resignation,real
 Watch This Nazi Cry Like A Little B*tch After Realizing He Might Be Arrested (VIDEO),fake
Silicon Valley blasts Senate proposal to tax startup options,real
Trump says will release nearly all JFK assassination files,real
White House says focused on getting lowest possible corporate tax rate,real
U.S. lawmakers question businessman at 2016 Trump Tower meeting: sources,real
 Rep. Joe Kennedy Torches GOP Congress For Screwing Over Low-Income Kids,fake
 WATCH: Delusional Trump Fans Lash Out At Fox Host For Reporting Facts Of Uranium One Deal,fake
" Republican Panics On Live TV, Can’t Say Trump Is Capable Of Handling North Korea (VIDEO)",fake
"Xi says China to be more open, transparent to foreign companies including America's",real
 Trump Gets Brutally Reminded Of The Sh*tty Way He Treated McCain After Releasing Pathetic Statement,fake
U.S. Treasury adds cash management measures due to debt limit,real
White House to host fresh biofuels talks to help refiners: sources,real
 McCain Exposes How Capitol Hill Republicans REALLY Feel About Trump,fake
Massachusetts senator's husband subject of sex abuse probe,real
 Republican Senator Gets Dragged For Going After Robert Mueller,fake
Republican Senator Paul says he plans to vote for Senate tax bill,real
"Trump names interim consumer agency head, likely sparking showdown",real
"Pence to preside over Senate tax bill vote, his office confirms",real
" Newsweek’s Latest Cover Effortlessly Demolishes ‘Lazy’ Trump, Meltdown Imminent (IMAGE)",fake
Senate Republicans tie tax plan to repeal of key Obamacare mandate,real
